item_category_id,item_category_name
0,Accessories - PS2.
1,Accessories - PS3.
2,Accessories - PS4.
3,Accessories - PSP.
4,Accessories - Xbox 360
5,Accessories - Xbox One
6,Accessories - psvita.
7,Android games - digit
8,"Books - Artbooks, Encyclopedia"
9,Books - Audiobooks (Figure)
10,Books - Audiobooks 1C
11,Books - Business Literature
12,Books - Cognitive Literature
13,"Books - Comics, Manga"
14,Books - Computer Literature
15,Books - Fiction
16,Books - Methodological materials 1C
17,Books - Number
18,Books - audiobooks
19,Books - guidebooks
20,Books - postcards
21,Cinema - Blu-Ray 4K
22,Cinema - Blu-ray 3D
23,Cinema - DVD.
24,Cinema - collectivity
25,Clean media (piece)
26,Clean media (spire)
27,Delivery of goods
28,Film - Blu-ray
29,Games - Accessories for games
30,Games - PS2.
31,Games - PS3.
32,Games - PS4
33,Games - PSP.
34,Games - Xbox 360
35,Games - psvita.
36,Gaming Consoles - PS2
37,Gaming Consoles - PS3
38,Gaming Consoles - PS4
39,Gaming Consoles - PSP
40,Gaming Consoles - Psvita
41,Gaming Consoles - Xbox 360
42,Gaming Consoles - Xbox One
43,Gaming consoles - Other
44,"Gifts - Bags, Albums, Rugs D / Mouse"
45,Gifts - Board Games
46,Gifts - Board Games (Compact)
47,"Gifts - Certificates, Services"
48,Gifts - Development
49,Gifts - Figures
50,"Gifts - Gadgets, Robots, Sports"
51,"Gifts - Postcards, Stickers"
52,Gifts - Soft Toys
53,Gifts - Souvenirs
54,Gifts - Souvenirs (in the hitch)
55,Gifts - attributes
56,MAC games - digit
57,Music - CD corporate production
58,Music - Gift Editions
59,Music - Local Production CD
60,Music - Music Video
61,Music - Vinyl
62,Music - mp3
63,PC - Headset / Headphones
64,PC Games - Additional Editions
65,PC Games - Collectible Editions
66,PC Games - Standard Editions
67,PC games - digit
68,"Payment cards (cinema, music, games)"
69,Payment cards - Live!
70,Payment cards - Live!(Number)
71,Payment cards - PSN
72,Payment cards - Windows (digit)
73,Power elements
74,Programs - 1C: Enterprise 8
75,Programs - Educational (Digit)
76,Programs - Mac (digit)
77,Programs - for home and office
78,Programs - for home and office (digit)
79,Programs - training
80,Service
81,Service - Tickets
82,Tickets (digit)
83,Игры - XBOX ONE
